model,annual_mae,annual_mape,annual_bias,consistency_score
lstm,11351.343541666625,2.910853392831559,-1998.841875000003,0.9708914660716844
lightgbm,66451.04324970566,4.86804795673921,61571.6512350483,0.9513195204326079
catboost,47926.75625750477,3.5537247010824613,44312.081873895375,0.9644627529891754
ridge,26411.836404671267,1.9300022181407563,23019.653882132217,0.9806999778185924
random_forest,76409.25918011722,5.546817606068212,75790.25754986235,0.9445318239393179
