feature,mean_importance,std_importance,min_importance,max_importance
TEC,0.5131679711436461,0.23531753824343488,0.1538302065928733,0.791991204406201
CO2e_lag4,0.40959953294936363,0.248751172498195,0.11813074381109423,0.8100468855248486
CEI,0.012797578479427169,0.0054896109859212915,0.004793939903798459,0.020908741604720577
CO2e_lag1,0.01203218827448016,0.004839055139874475,0.004999625523294859,0.020235984471601028
Population,0.010748685732068495,0.0039023216841162856,0.005062547493499535,0.020924740230388227
CO2e_lag2,0.009706992290776427,0.02268302292317123,0.0014412823466605263,0.09328562544110798
CO2e_roll4_mean,0.005905548083954037,0.0022309721692336743,0.0024537625516527573,0.009984667063314806
Air_Temp,0.005841464235800704,0.002242864244156766,0.002803418723869245,0.010814765574074618
CO2e_roll8_mean,0.004989940765652258,0.0019555650924272744,0.0019294250151996113,0.009642522108910043
CO2e_lag3,0.0038937541486112988,0.0015645176733269548,0.0010737053342491324,0.007384573451253624
GDP,0.00351650159749612,0.0018665065928828615,0.0011773203290584774,0.007336410355021446
CO2e_roll4_std,0.0019802786727311835,0.0009672872012389704,0.000757663207331249,0.0041198889045905495
CO2e_roll8_std,0.0018500938757057559,0.0013660391329779029,0.000729692335549976,0.00637363548952595
Rainfall,0.0017043530552848629,0.0005888404574651662,0.0011413642006216685,0.0029130054880648903
Q3,0.0007363133531514778,0.001004035926737536,0.00013468967786980752,0.0040438322213346475
Q2,0.0005443453276244156,0.0002545000231690732,0.00016674317192682235,0.0011277913571783064
COVID_Deaths,0.0003958712845418195,0.0007056980583719906,0.0,0.002097116002644806
COVID,0.0003467410289547668,0.000624143655203184,0.0,0.001685502452142013
Q4,0.00023592370508602607,0.00015910890320123153,5.00365978950179e-05,0.0005933282733665975
EnergyCrisis,5.9219956433364125e-06,1.7500559112301875e-05,0.0,6.59691305880849e-05
