fs_option,n_features,C1_accuracy,C2_stability,C3_shap_concentration,C4_shap_stability,C5_parsimony,mae_h1,mae_h2,mae_h4,error_std
fs_linear,4,0.12577331266451675,0.9588229877859454,1.0000000000000002,0.9343848286074854,0.8,0.11977909863724304,0.12480600313601223,0.1422098120254578,0.042945374421130646
fs_nonlinear,18,0.06078337837199293,0.9695449642671142,0.7676422235190763,0.7188674382230331,0.09999999999999998,0.05750723233005086,0.05874661976758266,0.0720288813834635,0.03141167955619973
fs_consensus,8,0.057985580876771345,0.9715279678849912,0.8498277424395836,0.7363945578231293,0.6,0.054975108039792796,0.05614900724352282,0.06826662341909051,0.02930644619216904
