feature,mean_importance,std_importance,min_importance,max_importance,normalized_importance
TEC,37.172608603304504,6.5284687720004,22.261508417503745,48.403677308800354,1.0
CO2e_lag4,19.98406168105865,5.4316848124757895,9.469258519776922,27.662165391630733,0.5376018103631862
CEI,7.324556506158052,2.5864751992857222,2.303497638104623,11.76626963855712,0.19704176761775408
CO2e_lag2,6.266939842792805,4.435924018298708,2.342517331506804,20.261219256529614,0.16859026251484804
CO2e_roll8_mean,4.589015259910542,1.9414360167135203,2.284426558238048,11.11244730539517,0.12345152606542108
CO2e_roll4_mean,3.9806026942835917,1.3924506831545858,1.5351941516012328,7.037385723405892,0.10708429792386782
Population,2.833090742899329,1.1875691719011636,1.524442784031367,6.075629392958382,0.07621447214354168
Air_Temp,2.7706415029320994,1.6634151492945135,0.8053203958401356,6.007583527016016,0.07453449211755885
Q4,2.1714664173288023,1.1281297030041593,0.400694575711573,4.401325322974797,0.058415766310674445
CO2e_lag3,2.138483034732395,0.8456271621961661,1.0017782534807123,4.024754661785596,0.05752846289464582
Rainfall,2.055517904392083,1.7726322848690508,0.601819212649259,6.577393978415402,0.05529657405343771
CO2e_lag1,2.0076646441292127,1.0732745812008253,0.4820920288955536,5.032595472897857,0.054009248195477436
CO2e_roll4_std,2.005093216647279,0.9627952438069747,0.7312548248355208,4.118078617211534,0.05394007286507823
CO2e_roll8_std,1.462159772660215,1.0248978718703323,0.47772015915635585,4.528866229239171,0.03933433319851097
GDP,0.9267552515410646,0.492702862272461,0.3473336418712845,2.042696606238617,0.024931133067122968
Q2,0.8817841060432691,0.6134189795649694,0.1753264982484511,2.4764234321130303,0.02372134050244948
Q3,0.6372414902286859,0.5771264647366071,0.040710406404399324,2.1760992107702304,0.01714277028629187
COVID_Deaths,0.5519425868105446,1.1202869341692583,0.0,3.9136433864282116,0.014848099381475183
COVID,0.22757749717622816,0.4755231113518305,0.0,1.6641859619640083,0.006122182588929134
EnergyCrisis,0.012797244970649817,0.046074325031618305,0.0,0.1830424795102439,0.00034426545382430307
