model,weighted_mae,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,r2_h1,mae_h2,rmse_h2,mape_h2,r2_h2,mae_h4,rmse_h4,mape_h4,r2_h4,annual_mae,annual_mape,annual_consistency
ridge,0.033431157729811596,0.9825967556204779,0.017711481622522347,0.08115037659634883,0.03328274334218658,0.04548259485704166,0.2854757289385679,0.9088305206071698,0.0333273637019896,0.04570006791472095,0.28593871511500396,0.9018282448431809,0.03395788474060714,0.04637487800990439,0.29135069484585263,0.9037408892858395,26411.836404671267,1.9300022181407563,0.9806999778185924
catboost,0.04420752004701004,0.9732488447699863,0.027486449507511064,0.14044258196328618,0.040968450517430303,0.054204444982245845,0.351198754005811,0.870512212376999,0.04404140345069626,0.056347884905654975,0.37731035747537417,0.8507521435592245,0.05255436876543006,0.06873276886965608,0.4511014236627502,0.7885518138654856,47926.75625750477,3.5537247010824613,0.9644627529891754
lightgbm,0.05167247810397742,0.9707103017553965,0.03017347007818611,0.14818422698615352,0.04878931150966999,0.064339033226028,0.4183443774238061,0.817565038833894,0.05035185487322256,0.06515065142268665,0.4316594239588611,0.8004781837542781,0.060861329435878284,0.07971356392800126,0.5224788195858568,0.7155927010799715,66451.04324970566,4.86804795673921,0.9513195204326079
random_forest,0.05851445115748412,0.9697634585286378,0.031179295533818284,0.16030433092439234,0.05428088740334962,0.0687611829902293,0.46530070130443113,0.7916249645989856,0.057899466211283904,0.07183493392381976,0.49613185413946764,0.7574371661299558,0.07002083796212068,0.08344383187534707,0.6007049996024371,0.688351699078857,76412.6077486526,5.547104534032534,0.9445289546596747
