feature,mean_importance,std_importance,min_importance,max_importance
CO2e_per_Population,0.5814978298012243,0.17278981084645606,0.24974954716845482,0.7891637038116429
TEC,0.25297254028542737,0.14849131395850987,0.08235171971274066,0.49336678773162485
CO2e_lag4,0.10894769333398363,0.06267475341034405,0.04674450472273592,0.2750861144822243
CO2e_per_TEC,0.008781099693784551,0.016072151937705257,0.0005558999327526671,0.05069151625220997
TEC_dlog,0.007602594701578485,0.012394110545958837,0.0006020706333556404,0.04174743311584499
CEI,0.005365706876157112,0.004108040068630836,0.0006173708052148781,0.015789263080120176
CO2e_lag2,0.004971444175539832,0.008310081807787743,0.000709672738984446,0.02845476293609721
CO2e_lag1,0.004589902162538,0.0026068832712544125,0.0015117847819048594,0.0097725775032618
Population,0.004290608816526719,0.0028378166166542406,0.0012602531328084136,0.011147405803827335
CO2e_dlog,0.004258255596848584,0.0027640373620643932,0.0013943520568351741,0.012208512843930631
GDP_dlog,0.0034816844456884116,0.0031600540873143713,0.001707511569996288,0.01445522431316182
Air_Temp,0.0032178094125037953,0.0015419931827304215,0.0013045997023522322,0.005722388607503908
HDD_proxy,0.0027067023656264433,0.001281569856148297,0.0006112437699658335,0.005075529046780098
CO2e_lag3,0.002280626142257101,0.0010439658814422395,0.00064131322346299,0.004530433934556942
GDP,0.00208014363023397,0.0011809576774354205,0.0007665232158677835,0.004292313663007705
Rainfall,0.0011764620304493298,0.00029502669628612966,0.0007994465986588025,0.002013846556666804
Q3,0.0010043193893842387,0.0012954223568320605,6.897878552274329e-05,0.005047281612813513
COVID_Deaths,0.00027906253294118495,0.0006834888733138078,0.0,0.002684922301353215
Q2,0.00022981478528162136,0.00020559129524583587,1.8637598804754586e-05,0.0006821146785034332
Q4,0.00014120223705281444,0.00019974978814446485,3.051153549191572e-05,0.0008637489977186516
COVID,0.00012090721083336787,0.0003479387618311667,0.0,0.0013567253964354192
EnergyCrisis,3.5903741391939755e-06,1.0028494961419686e-05,0.0,3.214119888668693e-05
CDD_proxy,0.0,0.0,0.0,0.0
