fs_option,n_features,C1_accuracy,C2_stability,C3_shap_concentration,C4_shap_stability,C5_parsimony,mae_h1,mae_h2,mae_h4,error_std,vikor_S,vikor_R,vikor_Q,vikor_rank,is_compromise
fs_linear,3,0.09011540400137673,0.9656884645564369,1.0000000000000002,0.9423076923076923,0.8125,0.08792765969560801,0.08816332146661544,0.09851288856794047,0.03553064647957986,-0.09999999999999998,0.2,0.5,1,False
fs_nonlinear,14,0.060888102285351534,0.9708643954897379,0.8128389981104728,0.7342140925937075,0.125,0.05791002058691103,0.05862420745402407,0.07172914877844397,0.030009962921304804,0.4650252775658129,0.15594365077913783,0.5,1,False
fs_consensus,10,0.061002658762852276,0.9711106047582263,0.8182291136172277,0.67542462438631,0.375,0.0579996306644832,0.0588569659267292,0.07172876826295961,0.02974882068038592,0.43995879200617277,0.2,0.9778182618062425,3,False
