feature,mean_importance,std_importance,min_importance,max_importance
TEC,0.519186305007982,0.23676094638448827,0.1542857436079291,0.7840853594646694
CO2e_lag4,0.40436999968109927,0.2518474674912553,0.1272744615681802,0.8123186180404184
CEI,0.016587305063106128,0.0069502661439093645,0.006755530688397742,0.030036939454399156
Population,0.013668450576998309,0.004567008369607216,0.005913171887152045,0.021404806753797842
CO2e_lag2,0.013599632709796788,0.028958688586019084,0.002181297205886608,0.11984193251976605
CO2e_lag1,0.013005436177596873,0.005231127558978331,0.006383313632539084,0.024784586531870587
Air_Temp,0.00657070823904663,0.0026057921860356804,0.0031031314444653455,0.01142001729611869
CO2e_lag3,0.004298568034630301,0.001385381972731622,0.0019255556386211581,0.007114270614260282
GDP,0.003850286481373927,0.0018955140978349123,0.001630144508189152,0.007496211536698736
Rainfall,0.0019797529282010967,0.0005557609224926213,0.0012957302659105416,0.003659166151612893
Q3,0.0007442740596030554,0.0005768675724810639,0.00017351161407432763,0.0022012266189225657
COVID_Deaths,0.0006691110956367834,0.0013364540739846586,0.0,0.004692505356516086
Q2,0.0006203318368570592,0.00034407269110155143,0.00015872035116779192,0.001509700133640443
COVID,0.0005875205437865052,0.001185712178006395,0.0,0.004256076161970458
Q4,0.0002546192411386269,0.00014461313374340785,8.948225044335116e-05,0.0005356820646095503
EnergyCrisis,7.69832314672464e-06,2.3541275791675356e-05,0.0,0.00010258042837697023
