feature,mean_importance,std_importance,min_importance,max_importance,normalized_importance
TEC,30.295271905042785,10.309475950527835,11.740719665534762,45.50273723901289,1.0
CO2e_lag4,22.081890607396787,6.716600161297858,11.98855782192567,34.9254997117709,0.7288890054068522
CEI,10.989525983079616,2.75272876584593,7.893882420137107,16.26361584798416,0.36274723057528857
CO2e_lag2,8.238670638777673,7.541739369348897,2.780700563160798,33.53269506812538,0.2719457565722099
Population,6.927753103060339,3.9094936423943993,2.5086145061560656,19.6278620530896,0.22867439925195665
CO2e_lag1,4.53588911344113,1.956971879848416,2.1524852734153126,10.156017119045298,0.14972267381056617
Air_Temp,4.022808234895392,2.3839759432155816,1.6263597937470646,10.658869080951831,0.1327866687417246
CO2e_lag3,3.0488329485141197,1.33090735175251,0.8948130747134879,5.452573180716523,0.10063725316842684
Rainfall,2.3695174882184022,0.8065167897162843,0.8992908773062734,3.438989670320182,0.07821410204355965
GDP,2.347230246879108,1.1491310916292161,0.8020022575051751,5.583035485883408,0.07747843472856901
Q3,1.667489365677923,1.547994041749857,0.06589880136771264,6.08369224236144,0.05504124111856418
Q4,1.5250179028516078,0.7857235758316883,0.028974263458589947,2.9661940369241395,0.050338478810542105
Q2,1.4350717637475,1.504957925261033,0.02214631026111984,5.916778672380713,0.04736949607996836
COVID_Deaths,0.4443846237531723,0.8125221961691912,0.0,2.55621868148597,0.014668448104577085
COVID,0.06997932449074823,0.13452926966288845,0.0,0.4144465409724582,0.00230990910760236
EnergyCrisis,0.0006667501736909426,0.0018708158263048417,0.0,0.006303495267791238,2.2008390476929802e-05
