feature,stability,avg_coefficient,std_coefficient,n_folds_important,n_folds_total
Air_Temp,1.0,0.0195010960654209,0.005521306144554701,44,44
CO2e_lag4,1.0,0.10354483472842473,0.023103410591674117,44,44
GDP,0.6590909090909091,0.012078624048311669,0.005727295561616951,29,44
Q4,0.2727272727272727,0.010067174995125102,0.0023606740050250946,12,44
COVID_Deaths,0.25,0.007131041812159108,0.012387809979996816,11,44
Q2,0.18181818181818182,0.009983867009495904,0.002550644260204467,8,44
Rainfall,0.13636363636363635,0.008333386301219499,0.0016177978023543841,6,44
COVID,0.06818181818181818,0.0018773725819105811,0.003374009609875706,3,44
EnergyCrisis,0.045454545454545456,0.0005152637289523932,0.002203998748775836,2,44
