feature,mean_importance,std_importance,min_importance,max_importance
TEC,0.5191863050079815,0.23676094638448797,0.1542857436079291,0.7840853594646694
CO2e_lag4,0.4043699996811021,0.2518474674912543,0.12727446156818523,0.8123186180404192
CEI,0.016587305063106152,0.006950266143909336,0.006755530688397742,0.030036939454399166
Population,0.013668450576997875,0.004567008369607748,0.005913171887151775,0.02140480675380273
CO2e_lag2,0.013599632709796756,0.028958688586019108,0.002181297205886608,0.11984193251976608
CO2e_lag1,0.013005436177597142,0.005231127558978769,0.006383313632539084,0.024784586531870594
Air_Temp,0.0065707082390456285,0.0026057921860354826,0.0031031314444653455,0.011420017296116379
CO2e_lag3,0.004298568034629734,0.0013853819727315901,0.0019255556386211581,0.007114270614260284
GDP,0.003850286481373251,0.001895514097835041,0.0016301445081891525,0.007496211536697531
Rainfall,0.0019797529282011804,0.0005557609224926367,0.0012957302659105416,0.003659166151613281
Q3,0.0007442740596030554,0.000576867572481064,0.00017351161407432763,0.002201226618922566
COVID_Deaths,0.0006691110956367834,0.0013364540739846586,0.0,0.004692505356516086
Q2,0.0006203318368570329,0.0003440726911015615,0.00015872035116779192,0.0015097001336404432
COVID,0.0005875205437865052,0.001185712178006395,0.0,0.004256076161970458
Q4,0.00025461924113862695,0.00014461313374340787,8.948225044335118e-05,0.0005356820646095503
EnergyCrisis,7.69832314672464e-06,2.3541275791675356e-05,0.0,0.00010258042837697023
