model,fs_linear,fs_wrapper
catboost,0.058770212237338235,0.02983285597272139
lightgbm,0.0571925875951809,0.03517348500076779
lstm,0.09077305951859828,0.1015807200053939
random_forest,0.05504128526169531,0.02933099531997516
ridge,0.04664362388692043,0.022746682096801613
