fs_option,n_features,C1_accuracy,C2_stability,C3_shap_concentration,C4_shap_stability,C5_parsimony,mae_h1,mae_h2,mae_h4,error_std,vikor_S,vikor_R,vikor_Q,vikor_rank,is_compromise
fs_wrapper,13,0.05570975403299817,0.9722720293179525,0.8035769836804268,0.8599133950562297,0.4347826086956522,0.053729763521622,0.05374658030260256,0.06360449090703198,0.02851873739646561,0.3,0.15,0.39274143078679297,1,False
fs_linear,9,0.0896536292275115,0.9663888316512785,0.9525632557947765,0.8131464009648817,0.6086956521739131,0.08648524995741808,0.0872518821650354,0.10117719799645915,0.03478017051510183,-0.003816320163055706,0.2,0.5,2,False
fs_consensus,9,0.05938095215070078,0.9697854547403163,0.8225598117649502,0.7626682196363873,0.6086956521739131,0.05641316793174876,0.057425907385376423,0.06973297984606737,0.03115590681629102,0.3829729212398816,0.2,1.0,3,False
