feature,importance
CO2e_per_Population,297
TEC,219
TEC_dlog,149
CEI,136
CO2e_dlog,123
CO2e_lag3,100
CO2e_lag1,98
HDD_proxy,79
CO2e_lag4,75
COVID_Deaths,62
EnergyCrisis,12
COVID,10
Q2,0
