feature,mean_importance,std_importance,min_importance,max_importance,normalized_importance
TEC,37.1726086033045,6.528468772000401,22.26150841750374,48.403677308800354,1.0
CO2e_lag4,19.984061681058655,5.43168481247579,9.469258519776922,27.662165391630733,0.5376018103631864
CEI,7.324556506158052,2.586475199285722,2.303497638104623,11.76626963855712,0.1970417676177541
CO2e_lag2,6.266939842792805,4.435924018298708,2.342517331506804,20.261219256529614,0.16859026251484807
CO2e_roll8_mean,4.589015259910542,1.9414360167135203,2.284426558238048,11.11244730539517,0.1234515260654211
CO2e_roll4_mean,3.9806026942835926,1.3924506831545855,1.5351941516012328,7.03738572340589,0.10708429792386787
Population,2.8330907428993295,1.1875691719011638,1.524442784031367,6.075629392958382,0.07621447214354171
Air_Temp,2.7706415029321003,1.663415149294513,0.8053203958401356,6.007583527016014,0.07453449211755887
Q4,2.1714664173288023,1.1281297030041593,0.400694575711573,4.401325322974797,0.05841576631067446
CO2e_lag3,2.138483034732395,0.8456271621961661,1.0017782534807123,4.024754661785596,0.05752846289464583
Rainfall,2.055517904392083,1.7726322848690506,0.601819212649259,6.577393978415402,0.055296574053437714
CO2e_lag1,2.0076646441292123,1.073274581200825,0.4820920288955536,5.032595472897857,0.054009248195477436
CO2e_roll4_std,2.005093216647279,0.9627952438069748,0.7312548248355208,4.118078617211535,0.05394007286507824
CO2e_roll8_std,1.4621597726602147,1.024897871870332,0.47772015915635585,4.528866229239171,0.03933433319851097
GDP,0.9267552515410646,0.492702862272461,0.3473336418712845,2.042696606238617,0.02493113306712297
Q2,0.8817841060432691,0.6134189795649694,0.1753264982484511,2.4764234321130303,0.023721340502449482
Q3,0.637241490228686,0.577126464736607,0.040710406404399324,2.1760992107702304,0.017142770286291874
COVID_Deaths,0.5519425868105448,1.1202869341692578,0.0,3.913643386428211,0.014848099381475188
COVID,0.22757749717622808,0.4755231113518305,0.0,1.6641859619640083,0.006122182588929133
EnergyCrisis,0.012797244970649813,0.04607432503161829,0.0,0.18304247951024386,0.000344265453824303
